texts,pm,pp,np
徐州之前刚因为铁链女出大风头，好不容易大家忘了点。结果又开始蹭徐州才是淄博烧烤发源地热度，b太去了之后被出租车狂宰＋反向抹零，现在又开始说b太拍这个影响城市发展影响普通人生活了，笑死 ,负向,0.0069,0.9931
不好意思对徐州的印象只有八孩铁链女和拐卖妇女  ,负向,0.2115,0.7885
徐州只能让我想起一件事情，铁链女🙈🙉🙊 ,负向,0.2986,0.7014
铁链女，丰县八孩 ,正向,0.92,0.08
想知道这个女的后续 ,正向,0.7359,0.2641
共情能力极强的人好死不死的刷到“消失的夫妻”案子分析，心疼的难受了一整天。像之前的铁链女看完新闻整个人都呼吸不上来，诅咒这些极致畜牲永远无法轮回！！！！草！！！！！！！！！！！！！！！！！ ,负向,0.0002,0.9998
今日是2023年4月24日晚为什么现在中国的百姓大部分对中国官员没有好感？只要有个名人出来为百姓说句公道话，就会如此受到百姓拥护呢？我们政府是不是该好好反思一下。比如主持人张泽群说了这几句话，有人贪污2.6亿才判5年，给女大学生用铁链套脖子上的人贩子只判6年，大学生掏个鸟窝判十年，人和人的差距怎么这么大，就这么短短几句话，就受到网上的群众热烈的欢呼声，因为太难得了，难得有位名人敢站出来说公道话。这反观一个问题，因为这些年大部分的百姓活着太压抑了，很多官员贪污腐败都是在干一些只利已，不为民生的事，官官相护，压迫老百姓，让老百姓有冤无处伸。大家看看我们家福建省漳州市开发区浦东新城店地安置房质量问题这么严重，为什么我们农民业主还告不赢呢？这是为什么呢？因为背后水太深了。各位网友看看我所发的照片，这种质量问题不算严重吗？难道农民的命不值钱吗？、 ,负向,0.0015,0.9985
铁链女事件之前我看强制爱：尊重XP 多元化🙏 该事件之后我看强制爱：这他妈是什么社会新闻…… ,负向,0.0008,0.9992
周期性的自我解构和朋友吃饭时他突然问我：你现在还是不婚主义吗我愣了好一会 如果是在半年之前 我肯定会很坚定的说我是 那时候充斥我的 是对男性霸权主义的反抗 是对女性主义思考 是在铁链女 唐山事件以及我身边亲人朋友婚姻状况对我精神上强烈的冲击下产生的答案 但我知道这并不是解决上面各种问题的方法 某种程度上来说 我不过是给自己找了一片栖息之地 逃避荒诞的现实但这一次我犹豫了 因为在这过去的半年里 我遇到的人都好善良好真诚 他们清醒 勇敢 乐观 好像在无形之中 他们每一个人都渗透到了我的生命里 雕刻我 塑造我 成为了我 人对人的感染力真的太强了 我会觉得说 原来是有人和我想的一样的 我并不孤独 有这样的一群人会和你共创亲密感 不仅是身体上的 更是智识上的 是多幸福的一件事啊！谢谢我的朋友们！ 无论是老朋友还是新朋友 你们真的太重要了🥹,正向,0.9943,0.0057
前阵子的保姆猥亵男婴事件，女宝p图造谣是男保姆并且全网传播攻击司法怎么没被抓？这都算煽动反政f了这都不管，女安局牛逼，还有造谣铁链女是李莹，造谣唐山女主被强j，这些谣言传播范围广到大多数人信以为真，这些女的居然屁事没有 ,负向,0.0002,0.9998
性骚扰还是最普通的，高校的教授利用职权侵犯女学生，被拐卖的妇女被铁链拴住生下孩子……对女性更加直接残忍且阴影持续一生的伤害，频频出现在热搜，我国确实需要一种更严厉的刑罚惩治这些犯罪分子。 ,负向,0.0001,0.9999
支持被拐人员获取赔偿，同时，我想知道丰县铁链女该通过什么方式获得赔偿？谁去赔偿她呢？ ,负向,0.0006,0.9994
应该学日本一样，支持一些厂牌合法拍摄。因为人都会有这方面的需求，不要自欺欺人。 拍个片判十年，铁链女男主判九年？ ,负向,0.4069,0.5931
没想到，拐卖的婚姻，也受到保护了 董某人出来之后还是铁链女的丈夫 联想到李亚玲，她真的很恶心 ,负向,0.0009,0.9991
很多在49中事件、铁链女事件中能够保持冷静的朋友，在冰淇淋事件中热血上头。其实说穿了，谁也不是圣人，脑袋永远都是由屁股指挥的，无人能够例外。冰淇淋事件符合所有网络热点的特征：开局一张图，过程全靠旁白。两张对比鲜明的图片，加上一段煽情的文字，这就是大多数人掌握的所有信息，但这并不妨碍他们激动，让他们夜不能妹。谁解释就是洗地，肯定是收钱了！永远都是热泪盈眶。,正向,0.7023,0.2977
每次出啥事都是靠群众举报或者群众反应...难道上面真的一点都不知道吗？？？然后每次都自查，结果通告都改了几次...（参考铁链女事件 ……江西周公子事件，北极鲶鱼事件……）到底还有干净的吗？？？？？ ,负向,0.0003,0.9997
宝马的冰淇淋事件 一点看法首先，自从徐州铁链女事件被封口后，我个人已经对所谓的认同感没有感觉了。崛起不崛起什么的，管我女人什么事。崛起了，女人就安全了吗？崛起了，就公平了吗？是受教育权公平了还是工作权公平了还是继承权公平了？都没看见。So，还是人太多了，不够男人分的，更别提女人了。女人是目前社会的次要层级。所以作为女人的我，支持了，不支持了，认同了，不认同了，对整个社会推动改进有影响吗？并没有。我不反对，也不支持。热血是别人的，我没有了。你看宝马冰淇淋事件下面，对发放冰淇淋的女工作人员的点评，从态度到容貌，再到婚配市场跌价的联想，换个性别，你猜会有类似的吗？不站宝马，站性别。这事，女工作人员，不能背锅。我才不信女工作人员是处于自我意愿把冰淇淋发给外国人不发给中国人的。纯粹就是从消费层级的角度来评价这个事。当年做数码相机的时候，正好是这个产品飞速发展的几年。市场部门调查发现，从中国消费者处过来的投诉，大多数是合理投诉，但有相当一部分，有吹毛求疵的嫌疑。这类的吹毛求疵投诉，在全球范围内，也算是量级比较大的了。当年接手了几个这样的投诉，非常不理解。内控中0.03平方毫米以内的瑕疵，被判断为OK，但本国消费者，会以亮点为名，直接投诉产品。直到某天逛商场，看到工厂生产的照相机的价格，才突然有所理解。无他，贵。一个数码相机的价格，大致等于当年我一个月的工资。将心比心，我花了一个月时间工作的劳动成果，对待它的要求，肯定比相同价格下，收入是我们N倍的国外客户的要求要高。用价格和价值的关系来比喻凝结在单位时间内的劳动成果，我花了一个月，别人可能是2，3天，得到同样的产品。珍贵程度不一样，要求肯定也是不一样。换句话说，就是自己劳动付出的成果，与实际取得的产品之间的比较，即：性价比。这个价格指的是劳动时间。同样的性能，不同等的劳动时间，获得的产品+品牌溢价是否能够满足客户对应的需求，两者之间的差异。那么也一样。宝马这次，最大的问题是它本身的品牌溢价，与其实际价值，出现了较大偏差。之前可能消费者没得选，中国市场上的汽车品牌，就那么几个，宝马相对名气较大，但现在国产车，特别是新能源汽车蓬勃发展，消费者的选择余地大了，对比宝马的性价比，发现中国车更能满足性价比的需求。这才是此次舆论发酵的底层逻辑，其次，才是所谓的民族情感。就如某些自媒体博主所说的，宝马mini的客户群体，是所谓的城市小资中产女性居多。而爆出视频，且炒作的人群是哪些？大家一看就知道，并非该品牌的目标群体。但是城市小资女性是些什么人群呢？当然是看不上屌丝底层你杯13，妈饺8毛的那群人啦。你看看这群炒作的人们，有几个是以小资中产女性为目标人群的人？是垂涎这帮人的男人吧？借民族大义的口，做打压小资中产女人的活，这才是这次突然大火的原因吧？所以，不参与，就看看，不管我事，就是我的态度。PS：宝马挺好看的。外观工业设计方面，就是比某些国产车漂亮。怎么啦？,负向,0.0001,0.9999
为什么不放铁链女。不都是文化输出吗 ,负向,0.0008,0.9992
很久未进这个微博账号了，一是工作太忙，二是现实很残酷心堵，旧伤痕上又填新伤痕，苦难深重的百姓，层层叠叠的压迫，不堪重负……铁链女事件上又加胡鑫宇，活体器官移植合法化丧尽天良…… ,负向,0.0022,0.9978
