texts,words,score
徐州之前刚因为铁链女出大风头，好不容易大家忘了点。结果又开始蹭徐州才是淄博烧烤发源地热度，b太去了之后被出租车狂宰＋反向抹零，现在又开始说b太拍这个影响城市发展影响普通人生活了，笑死 ,"['徐州', '之前', '刚', '铁链', '女出', '风头', '好不容易', '忘', '点', '蹭', '徐州', '淄博', '烧烤', '发源地', '热度', 'b', '太去', '之后', '出租车', '狂宰', '＋', '反向', '抹', '零', '现在', '说', 'b', '太拍', '影响', '城市', '发展', '影响', '普通人', '生活', '笑', '死', ' ']",0.0
不好意思对徐州的印象只有八孩铁链女和拐卖妇女  ,"['不好意思', '徐州', '印象', '八孩', '铁链', '女', '拐卖妇女', ' ', ' ']",0.0
徐州只能让我想起一件事情，铁链女🙈🙉🙊 ,"['徐州', '只能', '想起', '一件', '事情', '铁链', '女', '🙈', '🙉', '🙊', ' ']",0
铁链女，丰县八孩 ,"['铁链', '女', '丰县', '八孩', ' ']",0
想知道这个女的后续 ,"['想', '知道', '女', '后续', ' ']",0
共情能力极强的人好死不死的刷到“消失的夫妻”案子分析，心疼的难受了一整天。像之前的铁链女看完新闻整个人都呼吸不上来，诅咒这些极致畜牲永远无法轮回！！！！草！！！！！！！！！！！！！！！！！ ,"['共情', '能力', '极强', '死', '死', '刷', '消失', '夫妻', '案子', '分析', '心疼', '难受', '一整天', '之前', '铁链', '女看', '完', '新闻', '整个', '呼吸', '上来', '诅咒', '极致', '畜牲', '永远', '无法', '轮回', '草', ' ']",2.0
今日是2023年4月24日晚为什么现在中国的百姓大部分对中国官员没有好感？只要有个名人出来为百姓说句公道话，就会如此受到百姓拥护呢？我们政府是不是该好好反思一下。比如主持人张泽群说了这几句话，有人贪污2.6亿才判5年，给女大学生用铁链套脖子上的人贩子只判6年，大学生掏个鸟窝判十年，人和人的差距怎么这么大，就这么短短几句话，就受到网上的群众热烈的欢呼声，因为太难得了，难得有位名人敢站出来说公道话。这反观一个问题，因为这些年大部分的百姓活着太压抑了，很多官员贪污腐败都是在干一些只利已，不为民生的事，官官相护，压迫老百姓，让老百姓有冤无处伸。大家看看我们家福建省漳州市开发区浦东新城店地安置房质量问题这么严重，为什么我们农民业主还告不赢呢？这是为什么呢？因为背后水太深了。各位网友看看我所发的照片，这种质量问题不算严重吗？难道农民的命不值钱吗？、 ,"['今日', '2023', '年', '4', '月', '24', '日晚', '为什么', '现在', '中国', '百姓', '大部分', '中国', '官员', '没有', '好感', '有个', '名人', '百姓', '说句', '公道话', '会', '百姓', '拥护', '政府', '是不是', '好好', '反思', '一下', '主持人', '张泽群', '说', '几句话', '有人', '贪污', '2.6', '亿才判', '5', '年', '女', '大学生', '铁链', '套', '脖子', '人贩子', '只判', '6', '年', '大学生', '掏个', '鸟窝', '判', '十年', '差距', '怎么', '短短', '几句话', '网上', '群众', '热烈', '欢呼声', '太', '难得', '难得', '有位', '名人', '敢', '站', '说', '公道话', '反观', '一个', '问题', '年', '大部分', '百姓', '活着', '太', '压抑', '很多', '官员', '贪污腐败', '干', '只利', '民生', '事', '官官相护', '压迫', '老百姓', '老百姓', '冤', '无处', '伸', '看看', '家', '福建省', '漳州市', '开发区', '浦东', '新城', '店地', '安置', '房', '质量', '问题', '严重', '为什么', '农民', '业主', '还告', '赢', '这是', '为什么', '背后', '水太深', '网友', '看看', '所发', '照片', '这种', '质量', '问题', '不算', '严重', '难道', '农民', '命', '不值钱', ' ']",-15.0
铁链女事件之前我看强制爱：尊重XP 多元化🙏 该事件之后我看强制爱：这他妈是什么社会新闻…… ,"['铁链', '女', '事件', '之前', '强制', '爱', '尊重', 'XP', ' ', '多元化', '🙏', ' ', '事件', '之后', '强制', '爱', '妈', '什么', '社会', '新闻', ' ']",5.0
周期性的自我解构和朋友吃饭时他突然问我：你现在还是不婚主义吗我愣了好一会 如果是在半年之前 我肯定会很坚定的说我是 那时候充斥我的 是对男性霸权主义的反抗 是对女性主义思考 是在铁链女 唐山事件以及我身边亲人朋友婚姻状况对我精神上强烈的冲击下产生的答案 但我知道这并不是解决上面各种问题的方法 某种程度上来说 我不过是给自己找了一片栖息之地 逃避荒诞的现实但这一次我犹豫了 因为在这过去的半年里 我遇到的人都好善良好真诚 他们清醒 勇敢 乐观 好像在无形之中 他们每一个人都渗透到了我的生命里 雕刻我 塑造我 成为了我 人对人的感染力真的太强了 我会觉得说 原来是有人和我想的一样的 我并不孤独 有这样的一群人会和你共创亲密感 不仅是身体上的 更是智识上的 是多幸福的一件事啊！谢谢我的朋友们！ 无论是老朋友还是新朋友 你们真的太重要了🥹,"['周期性', '自我', '解构', '朋友', '吃饭', '时', '突然', '问', '现在', '不婚', '主义', '愣', '一会', ' ', '半年', '之前', ' ', '肯定', '会', '坚定', '说', ' ', '充斥', ' ', '男性', '霸权主义', '反抗', ' ', '女性主义', '思考', ' ', '铁链', '女', ' ', '唐山', '事件', '身边', '亲人', '朋友', '婚姻状况', '精神', '强烈', '冲击', '产生', '答案', ' ', '知道', '解决', '上面', '问题', '方法', ' ', '某种程度', ' ', '找', '一片', '栖息', '之地', ' ', '逃避', '荒诞', '现实', '一次', '犹豫', ' ', '过去', '半年', '里', ' ', '遇到', '善良', '真诚', ' ', '清醒', ' ', '勇敢', ' ', '乐观', ' ', '好像', '无形之中', ' ', '一个', '渗透到', '生命', '里', ' ', '雕刻', ' ', '塑造', ' ', '成为', ' ', '感染力', '真的', '太强', ' ', '我会', '觉得', '说', ' ', '原来', '有人', '想', ' ', '孤独', ' ', '一群', '人会', '共创', '亲密', '感', ' ', '身体', ' ', '更是', '智识', ' ', '幸福', '一件', '事', '朋友', ' ', '无论是', '老朋友', '新', '朋友', ' ', '真的', '太', '重要', '\U0001f979']",43.0
前阵子的保姆猥亵男婴事件，女宝p图造谣是男保姆并且全网传播攻击司法怎么没被抓？这都算煽动反政f了这都不管，女安局牛逼，还有造谣铁链女是李莹，造谣唐山女主被强j，这些谣言传播范围广到大多数人信以为真，这些女的居然屁事没有 ,"['前', '阵子', '保姆', '猥亵', '男婴', '事件', '女宝', 'p', '图', '造谣', '男保姆', '全网', '传播', '攻击', '司法', '怎么', '没', '抓', '算', '煽动', '反政', 'f', '女安局', '牛', '逼', '造谣', '铁链', '女是', '李莹', '造谣', '唐山', '女主', '强', 'j', '谣言', '传播', '范围广', '大多数', '信以为真', '女', '居然', '屁事', '没有', ' ']",-27.0
性骚扰还是最普通的，高校的教授利用职权侵犯女学生，被拐卖的妇女被铁链拴住生下孩子……对女性更加直接残忍且阴影持续一生的伤害，频频出现在热搜，我国确实需要一种更严厉的刑罚惩治这些犯罪分子。 ,"['性骚扰', '普通', '高校', '教授', '利用职权', '侵犯', '女', '学生', '拐卖', '妇女', '铁链', '拴住', '生', '孩子', '女性', '更加', '直接', '残忍', '阴影', '持续', '一生', '伤害', '频频', '出现', '热', '搜', '我国', '确实', '需要', '一种', '更', '严厉', '刑罚', '惩治', '犯罪分子', ' ']",-20.0
支持被拐人员获取赔偿，同时，我想知道丰县铁链女该通过什么方式获得赔偿？谁去赔偿她呢？ ,"['支持', '拐', '人员', '获取', '赔偿', '想', '知道', '丰县', '铁链', '女该', '什么', '方式', '获得', '赔偿', '赔偿', ' ']",8.0
应该学日本一样，支持一些厂牌合法拍摄。因为人都会有这方面的需求，不要自欺欺人。 拍个片判十年，铁链女男主判九年？ ,"['应该', '学', '日本', '支持', '厂牌', '合法', '拍摄', '会', '这方面', '需求', '不要', '自欺欺人', ' ', '拍个', '片判', '十年', '铁链', '女', '男主判', '九年', ' ']",0.0
没想到，拐卖的婚姻，也受到保护了 董某人出来之后还是铁链女的丈夫 联想到李亚玲，她真的很恶心 ,"['没想到', '拐卖', '婚姻', '也', '保护', ' ', '董', '某人', '之后', '铁链', '女', '丈夫', ' ', '联想', '李亚玲', '真的', '恶心', ' ']",-12.0
